"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",53.1967505325804,10.9094683820681,4.87620007405861,1.46388825779967e-06
"prob_exmpt",27.9920618941233,7.87651486031913,3.55386390942315,0.000416376800487759
"s_time",-7.36311082376973e-05,0.0321610580459999,-0.00228944918828177,0.99817421719786
"sales_change",-3.24628544773291,1.05276369057197,-3.08358416689807,0.00216061738062276
"prop_change",-1.54733723301876,0.483369137931895,-3.201150242316,0.00145768073640402
"prop_levy_change",-4.20124458317302e-06,1.84345909783408e-06,-2.279000704767,0.0230963217333741
"debt_change",2.00983565688373e-08,7.02158930021259e-08,0.286236572797398,0.774817910049269
"rev_time",0.0230526960588966,0.0178183429498822,1.2937620587805,0.196357118678218
"ss_open",-14.611460292654,9.76543975617656,-1.49624191613208,0.135234419693317
"ss_sales",-8.54958907945109,9.84639253475819,-0.868296591799553,0.385657048604508
"ss_property",-15.5614691792852,9.80439774277896,-1.58719276670986,0.113114044884991
"ss_nontax",-17.6589374413701,10.5691229658913,-1.67080442704273,0.0953988470633344
"ss_value",-8.95737210315663,9.2564040090461,-0.96769459224152,0.333674299660194
"ss_transfer",-8.88816094686191,9.77955947828003,-0.908850850245567,0.36387565460638
"ss_nonproperty",-1.68070602479666,7.32022895524491,-0.229597466837761,0.818500382973623
"ss_tourism",-9.35374578429497,11.9445732299943,-0.78309585484449,0.433949137927282
"ss_unknown",-21.3840386778316,16.7083706479209,-1.27983985562904,0.201207073049428
"ss_library",-10.4963787345038,16.6882512189109,-0.628968164298095,0.529662997482216
"ss_gaming",6.99032587806257,11.5908440366516,0.603090323358536,0.546727638435011
"infrastructure",-3.54225408331332,1.83163932090311,-1.93392555121975,0.0536977897423008
"open",-7.53737652267996,3.1237632705551,-2.4129154067877,0.0161916065202935
"public.safety",-4.60441535606102,2.0530174831999,-2.24275506357814,0.0253588999825274
"economic.development",-6.40373402768067,7.03919011357065,-0.909725966249313,0.363414304314753
"unspecified",-2.6595024965693,2.94533425520131,-0.902954390277694,0.36699376476092
"environment",0.753956267189195,2.2888279894861,0.329407133542822,0.741988734547404
"hss",-4.66808473895766,2.21791589290653,-2.10471675408766,0.0358246009986058
"education",-4.01287293583675,2.95642535347796,-1.35733950837486,0.175298191950738
"tourism",1.38833762263818,4.53499622867411,0.30613864987581,0.759629109710311
"no.waiver",-20.9174384109715,9.80149699165819,-2.1341064970763,0.0333298598643847
"administrative",-24.2351923797556,4.63703235344365,-5.22644453014384,2.56204314815015e-07
"limited",-8.40526044179184,13.849408449343,-0.606903931856425,0.544195768541365
"agriculture",-7.89166323548174,7.85168651691825,-1.00509148174438,0.315348872895673
"unknown",-28.8055567396578,14.1195617647682,-2.04011691152729,0.0418743384239722
"intensity_stock",-5.22464642027422,2.0032839482558,-2.60804087449668,0.00938413457352939
"prop_ratio",3.99615169481592,1.49329221740982,2.67606811863483,0.0076986330826805
"cty_rev_prop",16.7036795969608,6.0999522602892,2.73832956131511,0.00640003149412244
